,width,height
1346,300,462
1347,216,324
1348,300,408
1349,300,450
1350,300,442
1351,300,445
1352,300,433
1353,300,432
1354,300,300
1355,300,445
1356,300,423
1357,300,439
1358,300,445
1359,300,429
1360,300,450
1361,300,415
1362,300,450
1363,300,429
1364,300,429
1365,300,428
1366,300,441
1367,300,425
1368,300,542
1369,300,436
1370,263,475
1371,300,423
1372,300,472
1373,225,350
1374,300,424
1375,300,444
1376,300,427
1377,300,446
1378,300,445
1379,300,452
1380,300,422
1381,300,431
1382,300,433
1383,300,466
1384,300,433
1385,300,462
1386,300,425
1387,216,326
1388,300,425
1389,300,464
1390,300,492
1391,300,429
1392,300,444
1393,300,433
1394,216,318
1395,300,445
1396,300,437
1397,300,424
1398,300,445
1399,300,427
1400,300,444
1401,300,449
1402,300,446
1403,300,457
1404,300,450
1405,300,454
1406,300,420
1407,300,444
1408,300,437
1409,300,450
1410,300,450
1411,261,475
1412,300,450
1413,300,408
1414,300,425
1415,300,450
1416,300,450
1417,300,439
1418,300,450
1419,300,448
1420,300,449
1421,300,437
1422,300,427
1423,300,425
1424,300,443
1425,300,433
1426,216,325
1427,300,450
1428,300,431
1429,300,432
1430,300,450
1431,300,426
1432,300,426
1433,300,432
1434,300,446
1435,300,459
1436,300,418
1437,300,443
1438,300,454
1439,300,457
1440,300,443
1441,300,408
1442,293,475
1443,300,437
1444,300,424
1445,256,475
1446,300,431
1447,300,452
1448,259,475
1449,300,450
1450,300,450
1451,300,450
1452,261,475
1453,89,132
1454,300,426
1455,300,450
1456,300,424
1457,300,450
1458,300,450
1459,300,425
1460,300,437
1461,300,450
1462,300,450
1463,300,450
1464,300,428
1465,300,449
1466,261,475
1467,216,326
1468,300,446
1469,273,500
1470,300,418
1471,300,448
1472,300,433
1473,300,458
1474,300,430
1475,300,429
1476,300,456
1477,300,437
1478,289,500
1479,300,442
1480,300,456
1481,300,431
1482,300,431
1483,300,423
1484,216,324
1485,216,333
1486,300,450
1487,262,475
1488,300,434
1489,300,424
1490,216,323
1491,300,419
1492,300,425
1493,300,425
1494,300,421
1495,300,445
1496,300,427
1497,300,413
1498,300,434
1499,300,438
1500,300,446
1501,300,432
1502,260,475
1503,300,424
1504,300,431
1505,300,457
1506,300,426
1507,300,424
1508,300,448
1509,300,431
1510,272,500
1511,300,450
1512,216,321
1513,300,430
1514,300,429
1515,300,424
1516,300,402
1517,300,432
1518,258,475
1519,300,450
1520,300,431
1521,300,436
1522,300,431
1523,254,475
1524,300,427
1525,300,439
1526,300,434
1527,300,446
1528,216,318
1529,300,418
1530,300,434
1531,300,408
1532,89,145
1533,300,424
1534,300,423
1535,300,422
1536,300,424
1537,300,420
1538,300,424
1539,300,429
1540,300,444
1541,300,423
1542,300,419
1543,300,429
1544,300,405
1545,300,419
1546,300,423
1547,300,427
1548,300,450
1549,300,411
1550,300,413
1551,300,431
1552,300,429
1553,260,475
1554,300,421
1555,300,368
1556,300,423
1557,300,444
1558,300,432
1559,300,429
1560,216,317
1561,216,317
1562,300,443
1563,300,450
1564,300,444
1565,300,447
1566,300,424
